City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,mayfield,36.74,-88.64,73.99,83,1,10.29,US,1590244184
329,banda aceh,5.56,95.32,82.38,77,100,9.28,ID,1590244184
330,ketchikan,55.34,-131.65,51.8,71,75,13.87,US,1590244185
331,isangel,-19.55,169.27,71.28,76,100,6.69,VU,1590244185
332,bata,1.86,9.77,86.0,89,40,9.17,GQ,1590244185
333,storozhevaya,43.88,41.45,47.97,70,82,2.28,RU,1590244185
334,winnemucca,40.97,-117.74,33.8,74,1,3.36,US,1590244184
335,progreso,21.28,-89.67,81.0,88,90,4.7,MX,1590244185
336,walvis bay,-22.96,14.51,84.2,25,0,12.75,NA,1590244068
337,sinnamary,5.38,-52.95,82.49,76,71,10.51,GF,1590244185
338,madimba,-10.4,40.33,86.0,48,40,16.11,TZ,1590244185
339,sabang,5.89,95.32,83.95,79,100,13.42,ID,1590244185
340,kuopio,62.89,27.68,62.6,27,49,9.17,FI,1590244186
341,bengkulu,-3.8,102.27,79.74,83,32,4.92,ID,1590244186
342,sao felix do xingu,-6.64,-51.99,81.82,86,89,4.45,BR,1590244186
343,haines junction,60.75,-137.51,44.24,71,65,1.99,CA,1590244186
344,shingu,33.73,135.98,62.8,91,100,4.63,JP,1590244186
345,katsuura,35.13,140.3,62.6,93,40,3.36,JP,1590244186
346,beisfjord,68.38,17.6,59.0,33,18,18.34,NO,1590244186
347,poum,-20.23,164.02,75.22,75,82,16.98,NC,1590244186
348,kargat,55.2,80.28,66.63,59,58,4.59,RU,1590244187
349,guanica,17.97,-66.91,88.0,61,95,5.99,PR,1590244187
350,lashio,22.93,97.75,76.95,63,48,1.21,MM,1590244026
351,esil,51.96,66.4,80.92,42,5,11.32,KZ,1590244187
352,hokitika,-42.72,170.97,50.45,76,100,3.0,NZ,1590244187
353,arcata,40.87,-124.08,51.01,100,1,3.44,US,1590244187
354,saldanha,-33.01,17.94,69.8,60,0,9.17,ZA,1590244187
355,jiayuguan,39.82,98.3,67.5,22,4,14.43,CN,1590244187
356,acarau,-2.89,-40.12,82.08,83,23,11.12,BR,1590244187
357,elko,41.0,-115.5,37.99,69,1,3.36,US,1590244188
358,inhambane,-23.86,35.38,78.8,57,20,4.7,MZ,1590244188
359,mackay,-21.15,149.2,53.6,87,100,4.7,AU,1590243981
360,onega,63.91,38.14,48.18,52,45,5.86,RU,1590244188
361,vangaindrano,-23.35,47.6,70.32,89,6,6.06,MG,1590244188
362,lufilufi,-13.87,-171.6,84.78,76,33,10.07,WS,1590244188
363,altay,47.87,88.12,62.08,43,75,6.11,CN,1590244188
364,bulgan,48.81,103.53,48.18,59,95,3.91,MN,1590244188
365,gamba,-2.65,10.0,83.19,76,9,8.63,GA,1590244188
366,alekseyevsk,57.84,108.35,62.56,51,87,5.39,RU,1590244188
367,aksarka,66.56,67.8,60.37,45,99,5.86,RU,1590244189
368,shushenskoye,53.33,91.94,66.2,55,17,11.18,RU,1590244189
369,moose factory,51.26,-80.61,48.2,61,1,9.17,CA,1590244189
370,perth,-31.93,115.83,70.0,30,95,13.87,AU,1590244189
371,airai,-8.93,125.41,60.33,100,99,4.34,TL,1590244189
372,kultuk,51.72,103.7,54.97,47,0,5.01,RU,1590244189
373,portobelo,9.55,-79.65,82.4,78,40,4.7,PA,1590244189
374,mabaruma,8.2,-59.78,88.05,52,10,7.45,GY,1590244189
375,pangai,-19.8,-174.35,76.42,70,0,9.37,TO,1590244189
376,port lincoln,-34.73,135.87,57.18,78,97,12.97,AU,1590244189
377,north bend,43.41,-124.22,44.6,100,1,3.36,US,1590244190
378,wisconsin rapids,44.38,-89.82,61.0,82,90,8.05,US,1590244171
379,camocim,-2.9,-40.84,82.33,83,23,9.35,BR,1590244190
380,homer,59.64,-151.55,48.2,70,90,3.36,US,1590244190
381,burns lake,54.23,-125.75,41.16,80,0,2.46,CA,1590244190
